station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Altus,34.60176,-99.83644,LC09_L2SP_029036_20240312_02_T1,2024-03-12 17:14:20.236204+00:00,31.5,0.3984823911515773,2024-03-12 17:14:20.236204+00:00,2024-03-12,2024
Altus,34.60181,-99.80462,LC08_L2SP_029036_20240320_02_T1,2024-03-20 17:13:55.721380+00:00,2.9,0.4188787865468749,2024-03-20 17:13:55.721380+00:00,2024-03-20,2024
Altus,34.60192,-99.82577,LC09_L2SP_029036_20240328_02_T1,2024-03-28 17:14:10.728434+00:00,0.02,0.4163553973516619,2024-03-28 17:14:10.728434+00:00,2024-03-28,2024
Altus,34.60191,-99.80595,LC08_L2SP_029036_20240405_02_T1,2024-04-05 17:13:46.849347+00:00,5.97,0.3985636533902582,2024-04-05 17:13:46.849347+00:00,2024-04-05,2024
Altus,34.60211,-99.8352,LC09_L2SP_029036_20240413_02_T1,2024-04-13 17:14:05.006709+00:00,0.01,0.351294876887992,2024-04-13 17:14:05.006709+00:00,2024-04-13,2024
Altus,34.60209,-99.81222,LC08_L2SP_029036_20240421_02_T1,2024-04-21 17:13:38.191519+00:00,39.9,,2024-04-21 17:13:38.191519+00:00,2024-04-21,2024
Altus,34.60183,-99.79733,LC09_L2SP_029036_20240429_02_T1,2024-04-29 17:13:47.275974+00:00,0.62,0.2525318837664557,2024-04-29 17:13:47.275974+00:00,2024-04-29,2024
Altus,34.60209,-99.81424,LC08_L2SP_029036_20240507_02_T1,2024-05-07 17:13:27.899182+00:00,0.0,0.1624095739719323,2024-05-07 17:13:27.899182+00:00,2024-05-07,2024
Altus,34.60178,-99.80624,LC09_L2SP_029036_20240515_02_T1,2024-05-15 17:13:40.241266+00:00,62.07,,2024-05-15 17:13:40.241266+00:00,2024-05-15,2024
Altus,34.60208,-99.80411,LC08_L2SP_029036_20240523_02_T1,2024-05-23 17:13:14.385116+00:00,68.06,,2024-05-23 17:13:14.385116+00:00,2024-05-23,2024
Altus,34.60177,-99.81302,LC09_L2SP_029036_20240531_02_T1,2024-05-31 17:13:32.318035+00:00,15.45,-0.1176860440855586,2024-05-31 17:13:32.318035+00:00,2024-05-31,2024
Altus,34.60174,-99.77506,LC08_L2SP_029036_20240608_02_T1,2024-06-08 17:13:15.528329+00:00,2.83,-0.1364615860627119,2024-06-08 17:13:15.528329+00:00,2024-06-08,2024
Altus,34.60174,-99.81009,LC09_L2SP_029036_20240616_02_T1,2024-06-16 17:13:21.844260+00:00,1.68,-0.2004329151427802,2024-06-16 17:13:21.844260+00:00,2024-06-16,2024
Altus,34.60172,-99.78129,LC08_L2SP_029036_20240624_02_T1,2024-06-24 17:13:25.987308+00:00,1.54,-0.1651073134352756,2024-06-24 17:13:25.987308+00:00,2024-06-24,2024
Altus,34.60183,-99.79808,LC09_L2SP_029036_20240702_02_T1,2024-07-02 17:13:23.137592+00:00,4.95,-0.1551451000730918,2024-07-02 17:13:23.137592+00:00,2024-07-02,2024
Altus,34.60183,-99.77743,LC08_L2SP_029036_20240710_02_T1,2024-07-10 17:13:33.807711+00:00,26.07,,2024-07-10 17:13:33.807711+00:00,2024-07-10,2024
Altus,34.60174,-99.81746,LC09_L2SP_029036_20240718_02_T1,2024-07-18 17:13:37.486735+00:00,37.34,-0.2214512577925856,2024-07-18 17:13:37.486735+00:00,2024-07-18,2024
Altus,34.60199,-99.80107,LC08_L2SP_029036_20240726_02_T1,2024-07-26 17:13:47.526065+00:00,9.9,0.2050980097445575,2024-07-26 17:13:47.526065+00:00,2024-07-26,2024
Altus,34.60196,-99.79225,LC09_L2SP_029036_20240803_02_T1,2024-08-03 17:13:40.814559+00:00,0.22,-0.2177403865947186,2024-08-03 17:13:40.814559+00:00,2024-08-03,2024
Altus,34.6016,-99.77041,LC08_L2SP_029036_20240811_02_T1,2024-08-11 17:13:47.689647+00:00,54.41,,2024-08-11 17:13:47.689647+00:00,2024-08-11,2024
Altus,34.60185,-99.80323,LC09_L2SP_029036_20240819_02_T1,2024-08-19 17:13:51.733351+00:00,0.0,-0.2330555100326888,2024-08-19 17:13:51.733351+00:00,2024-08-19,2024
Altus,34.60177,-99.77349,LC08_L2SP_029036_20240827_02_T1,2024-08-27 17:13:54.835611+00:00,5.85,-0.2080980184321163,2024-08-27 17:13:54.835611+00:00,2024-08-27,2024
Altus,34.60216,-99.7741,LC09_L2SP_029036_20240904_02_T1,2024-09-04 17:13:52.193594+00:00,87.6,,2024-09-04 17:13:52.193594+00:00,2024-09-04,2024
Altus,34.60203,-99.78842,LC08_L2SP_029036_20240912_02_T1,2024-09-12 17:14:03.709692+00:00,37.37,-0.1914388896858418,2024-09-12 17:14:03.709692+00:00,2024-09-12,2024
Altus,34.60182,-99.77189,LC09_L2SP_029036_20240920_02_T1,2024-09-20 17:13:57.695027+00:00,18.6,-0.1923200633609323,2024-09-20 17:13:57.695027+00:00,2024-09-20,2024
Altus,34.60202,-99.74986,LC08_L2SP_029036_20240928_02_T1,2024-09-28 17:13:58.899381+00:00,0.01,-0.2373515887243142,2024-09-28 17:13:58.899381+00:00,2024-09-28,2024
